Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,8-Apr,@,TBR,L1-2,37,33,1,7,2,0,1,1,3,0,14,1,0,0,0,1,0,0,0.212,0.297,0.364,0.661,9,12,L,S.McClanahan(60)
2,2,9-Apr,@,TBR,L3-5,36,34,3,8,2,0,1,3,1,0,10,1,0,0,0,1,1,0,0.224,0.288,0.373,0.661,6,10,R,D.Rasmussen(50)
3,3,10-Apr,@,TBR,L0-8,37,32,0,6,2,0,0,0,5,0,13,0,0,0,0,0,1,1,0.212,0.291,0.333,0.624,10,14,R,C.Kluber(59)
4,4,11-Apr,,MIL,W2-0,37,31,2,6,1,0,0,2,6,0,7,0,0,0,2,1,1,0,0.208,0.299,0.308,0.607,11,10,R,A.Houser(45)
5,5,12-Apr,,MIL,L4-5,41,34,4,7,2,0,1,4,6,0,14,0,0,0,0,0,0,0,0.207,0.305,0.317,0.622,10,13,L,E.Lauer(46)
6,6,13-Apr,,MIL,L2-4,36,30,2,5,1,0,0,2,3,0,10,2,0,1,0,0,0,0,0.201,0.3,0.299,0.599,7,12,R,C.Burnes(78)
7,7,15-Apr,,NYY,W2-1,47,36,2,6,1,0,0,2,10,1,9,0,1,0,0,0,0,0,0.196,0.309,0.283,0.591,15,13,L,J.Montgomery(61)
8,8,16-Apr,,NYY,L2-5,37,33,2,7,0,0,1,2,3,0,7,0,1,0,0,0,0,0,0.198,0.305,0.285,0.59,8,9,R,J.Taillon(51)
9,9,17-Apr,,NYY,W5-0,37,33,5,9,1,0,0,5,4,0,16,0,0,0,0,0,1,0,0.206,0.31,0.287,0.597,8,12,L,N.Cortes(72)
10,10,18-Apr,@,OAK,L1-5,35,32,1,7,2,1,0,1,3,0,10,0,0,0,0,1,0,0,0.207,0.308,0.293,0.6,7,10,R,F.Montas(67)
